,extractor,quantile,prior,balanced_accuracy,accuracy,f1
164,clip-ViT-B-32,5.987416,0.3,0.6148795776337761,0.4604750435685054,0.39437300802285963
165,clip-ViT-B-32,5.987416,0.4,0.675305017333837,0.5630029959466604,0.570074553545628
166,clip-ViT-B-32,5.987416,0.5,0.7301148499050618,0.6817051440208346,0.7328720974182841
167,clip-ViT-B-32,5.987416,0.6,0.7358125071015164,0.7446787679414126,0.8080665341870905
168,clip-ViT-B-32,5.987416,0.7,0.6957958536952353,0.7812958937907537,0.8537916770300167
169,clip-ViT-B-32,5.987416,0.8,0.5534395693424793,0.737786132487419,0.8431067005658985
170,clip-ViT-B-32,5.987416,0.9,0.5023501183656527,0.711429634416182,0.8311158478587227
171,clip-ViT-B-16,5.987416,0.1,0.50019303422221,0.2901956176937085,0.0007718389061940073
172,clip-ViT-B-16,5.987416,0.2,0.5161225593762386,0.3129883099336192,0.06322590980695805
173,clip-ViT-B-16,5.987416,0.3,0.5753156230223756,0.40014490199533964,0.2727315891932957
174,clip-ViT-B-16,5.987416,0.4,0.6987620995562872,0.6034384851867082,0.6282399588809751
175,clip-ViT-B-16,5.987416,0.5,0.7297722617477599,0.6723648397266443,0.7199665271966526
176,clip-ViT-B-16,5.987416,0.6,0.734163128180866,0.7738353991658344,0.8387862207581932
177,clip-ViT-B-16,5.987416,0.7,0.654384383595866,0.7778495760637569,0.8583945979005705
178,clip-ViT-B-16,5.987416,0.8,0.5685979214563973,0.7458340676339854,0.8469556194878083
179,clip-ViT-B-16,5.987416,0.9,0.5062922242804733,0.7136227456969981,0.8321531451918333
180,clip-ViT-L-14,5.987416,0.1,0.5006618316190056,0.290861383618242,0.002643826939494919
181,clip-ViT-L-14,5.987416,0.2,0.537586738609652,0.3438681000215395,0.14209636950176663
182,clip-ViT-L-14,5.987416,0.3,0.5856203886752874,0.4152617047523938,0.3043701080879612
183,clip-ViT-L-14,5.987416,0.4,0.6776900884863049,0.5638645753784096,0.5698116851762434
184,clip-ViT-L-14,5.987416,0.5,0.7374553793448033,0.6931798155436762,0.7452650745395133
185,clip-ViT-L-14,5.987416,0.6,0.7370842566088425,0.7728759129804774,0.8371727381203061
186,clip-ViT-L-14,5.987416,0.7,0.6594897366574923,0.7768705085276782,0.8566432246782493
187,clip-ViT-L-14,5.987416,0.8,0.556652521365509,0.7395680354030821,0.8439809492527508
188,clip-ViT-L-14,5.987416,0.9,0.5039758760080261,0.7122912138479313,0.8315080903179936
189,clip-ViT-B-32,6.129032,0.1,0.500096517111105,0.2900585482386575,0.0003859939343810311
190,clip-ViT-B-32,6.129032,0.2,0.5179178212255164,0.3156513736317531,0.07043115142165599
191,clip-ViT-B-32,6.129032,0.3,0.6056718888170858,0.44751218939082416,0.37077674449722353
192,clip-ViT-B-32,6.129032,0.4,0.6511375180663899,0.5207072783880632,0.5023685120052046
193,clip-ViT-B-32,6.129032,0.5,0.7217506656208948,0.6583054299085551,0.703453198286996
194,clip-ViT-B-32,6.129032,0.6,0.7324444937024434,0.7553897667861129,0.820450168166269
195,clip-ViT-B-32,6.129032,0.7,0.6904907427516648,0.7716618692357399,0.84606143813283
196,clip-ViT-B-32,6.129032,0.8,0.5758492161976546,0.7474201570424328,0.8469488247368858
197,clip-ViT-B-32,6.129032,0.9,0.5036657513934301,0.7121345630421586,0.8314395459496647
198,clip-ViT-B-16,6.129032,0.1,0.5003171276507735,0.29037184985020265,0.0012677065534917047
199,clip-ViT-B-16,6.129032,0.2,0.535303506689533,0.3408525720104173,0.13509763617677287
200,clip-ViT-B-16,6.129032,0.3,0.5858925413749715,0.41522254205095066,0.303804550540843
201,clip-ViT-B-16,6.129032,0.4,0.6699344512833769,0.5497855842095988,0.5477576711250983
202,clip-ViT-B-16,6.129032,0.5,0.7155130016972789,0.6425228612269674,0.6827801911381407
203,clip-ViT-B-16,6.129032,0.6,0.7451329904321502,0.7481250856684094,0.8092137464588184
204,clip-ViT-B-16,6.129032,0.7,0.6797011211439993,0.778671992794063,0.8544984102055789
205,clip-ViT-B-16,6.129032,0.8,0.6021708093493469,0.7596585012434157,0.8523552903815618
206,clip-ViT-B-16,6.129032,0.9,0.505596840481888,0.7132311186825667,0.8319660375193622
207,clip-ViT-L-14,6.129032,0.1,0.5019930892399992,0.29278035598895613,0.00807448298591085
208,clip-ViT-L-14,6.129032,0.2,0.5307767888046215,0.3342536568172473,0.11853465038500427
209,clip-ViT-L-14,6.129032,0.3,0.6657516905003393,0.5453210362450802,0.5421563214764572
210,clip-ViT-L-14,6.129032,0.4,0.6846800004897655,0.5773952887270164,0.5906297420333839
211,clip-ViT-L-14,6.129032,0.5,0.7262885269008728,0.6759873896101353,0.7266720626373083
212,clip-ViT-L-14,6.129032,0.6,0.7181636983844617,0.7645930016252521,0.8333102243420871
213,clip-ViT-L-14,6.129032,0.7,0.6889814534234638,0.7762439053045879,0.8505473521756758
214,clip-ViT-L-14,6.129032,0.8,0.6421140435575962,0.7705261508938887,0.8543409359269157
215,clip-ViT-L-14,6.129032,0.9,0.5345019859176467,0.7282304333352915,0.838775628739037
216,clip-ViT-B-32,6.307692,0.1,0.5010892645396133,0.29146840549061076,0.004347586814154422
217,clip-ViT-B-32,6.307692,0.2,0.5237386340769401,0.3242867492999667,0.09342160571668769
218,clip-ViT-B-32,6.307692,0.3,0.5634452010500726,0.38277624390530457,0.23490861428675452
219,clip-ViT-B-32,6.307692,0.4,0.6192165607322723,0.4700111613699113,0.414409346603202
220,clip-ViT-B-32,6.307692,0.5,0.6819826889117714,0.5852278290156455,0.6073189722294317
221,clip-ViT-B-32,6.307692,0.6,0.7285742815902744,0.7017368658090035,0.7598991172761664
222,clip-ViT-B-32,6.307692,0.7,0.7146688825365806,0.7590906420724901,0.8286561842819938
223,clip-ViT-B-32,6.307692,0.8,0.6167200854292934,0.7605984060780513,0.8505196234258467
224,clip-ViT-B-32,6.307692,0.9,0.5419157818296311,0.7313242867493,0.8399304704907896
225,clip-ViT-B-16,6.307692,0.1,0.5007169842539227,0.29093970902112826,0.0028638303731240533
226,clip-ViT-B-16,6.307692,0.2,0.5229752742646925,0.3227202412422409,0.08859025032938077
227,clip-ViT-B-16,6.307692,0.3,0.5689418832145451,0.3906675282460984,0.2521149778888675
228,clip-ViT-B-16,6.307692,0.4,0.6408608576836693,0.5034169457009144,0.47291848526416425
229,clip-ViT-B-16,6.307692,0.5,0.6832634930096233,0.5777673343907263,0.5924357835447106
230,clip-ViT-B-16,6.307692,0.6,0.7325803786794218,0.6929252579842957,0.7469339013684483
231,clip-ViT-B-16,6.307692,0.7,0.7353836735736732,0.7440130020168791,0.8074583560392948
232,clip-ViT-B-16,6.307692,0.8,0.697854988457674,0.774912373455521,0.8475646143033325
233,clip-ViT-B-16,6.307692,0.9,0.5813792633594901,0.7488887583465508,0.8471586575133486
234,clip-ViT-L-14,6.307692,0.1,0.5001378815872929,0.2901172922908222,0.0005513743004438563
235,clip-ViT-L-14,6.307692,0.2,0.5317743294016413,0.3355851886663142,0.12170941940827792
236,clip-ViT-L-14,6.307692,0.3,0.5469375380093979,0.35808416064540133,0.17736511919698872
237,clip-ViT-L-14,6.307692,0.4,0.6161611295292411,0.46394094264622376,0.402114091028217
238,clip-ViT-L-14,6.307692,0.5,0.6806745869416493,0.570032700855705,0.5795580745222686
239,clip-ViT-L-14,6.307692,0.6,0.7267158368958455,0.6978205956646889,0.7556294536817102
240,clip-ViT-L-14,6.307692,0.7,0.6980170845325583,0.7699778730736846,0.8429398473119142
241,clip-ViT-L-14,6.307692,0.8,0.6673308090392762,0.7693904325520374,0.8486110575501651
242,clip-ViT-L-14,6.307692,0.9,0.5252881349878732,0.7225518416260354,0.8358492533336424
243,clip-ViT-B-32,6.574194,0.1,0.5002619750158563,0.2902935244473164,0.0010473513036767543
244,clip-ViT-B-32,6.574194,0.2,0.5050878305711055,0.29714699719986687,0.02014632015723957
245,clip-ViT-B-32,6.574194,0.3,0.5194573018346849,0.31792281031545555,0.07651316312733636
246,clip-ViT-B-32,6.574194,0.4,0.5167734040509859,0.3140261215218626,0.06616196619928559
247,clip-ViT-B-32,6.574194,0.5,0.6151981682858574,0.46294229375942353,0.40067303279942307
248,clip-ViT-B-32,6.574194,0.6,0.5976357576651332,0.4350780316826255,0.3463089681424752
